Emotion,Text
joy,My friend told me he really likes me.
surprise,Swaggggiiinnnn it at out wit tha boo...he aint even know I had rhythm like dat 
fear,"The appointed hour is not known:in order to deliver man from absolute despair and absolute heedlessness,&amp; to hold him between  &amp; "
neutral, Believe it ! 
worry,So im playing hooky from work and it feels good  Gonna go get ma hair did! .......i wonder how fitzsimmons is doing?
worry,"btw @austincarlile, @jaxinhall, @philipmanansala, and @youngfuego, i ordered some of yer merch yesterday.!  &lt;33333333333"
worry,I swear its so hot I dont want to leave my house  Is it hot where your at?
love,watching because i said so! happy mothers day!
anger,When students in our working group showed no responsibility or interest in our work.
joy,Christmas music on the radio  #winning
love,I love my mommy.
joy,Six chapter of Economics to study for tomorrow's final 
sadness,When my honest intentions were marred by another's jealousy.
worry,@andymooseman Yeah. About damn time. My film SLR just sits there quietly being ignored. It's time to step up!
joy,"So long November, you have been the worst month ever. Hello December!   "
worry,@ashleytisdale: cool that you liked germany and the awards! i saw you on TV cause i couldn't come to the comet and see you live  xoxo
fear,Do not teach  to #God.Teach them to #Love God &amp; that he will protect them from evil &amp; Love them at all times! #Religion
worry,http://bit.ly/1052x1  DO WANT. I need a PS3 soon.
worry,Left poor fred!(boyfriend) in the alice in wonderland ride !  oops sorry fred! Argh!
sadness,my first job and i might just have to work on the weekend. #recklessestimations
sadness,That concern turned to heartbreak when they heard of his mother 's grim fate . 
joy,Finally done.  Now Chem lab exam.  Thurs: ECON exam. Fri: Math exam. Mon: Chem exam. Then finals the next week.
surprise,"&quot;Congressman Paul, should Government do anything…&quot;  #iowa"
surprise,"Can you believe the debt committee is predicted to announce that they can't come to any sort of agreement? Shocking, I know. "
worry,going to a funeral
worry,feels really sick after eating some form of chicken. Why do restaurants make their grilled chicken sooo greasy
worry,@verwon and now I am starting to feel really old.
anger, It ’ s simply because the tins were damaged . 
joy,"Doc visit=Bronchitis for me. Upper respiratory infection, sinus infection AND bronchitis=wifey. "
fear,"i DONT want to be one of the people God denys when its judgement day , that's my !"
worry,@HeathersNotBSC No.  I was thinking just before how much I miss my T-Dub.
joy,My boss decided to call me into work today -_- 
anger,@jenellethemodel Change your thinking w/the Word of God &amp; it will create an emotional adjustment. Find scriptures.
joy,Now THAT was a good day. And I'm not even drunk. 
anger,My trouser's zipper was open when I was at a public wedding.
worry,@Keiyaunna So i guess im stuck in the LOBBY
fear,"Walking around the University at night by myself, having been previously warned of rapes, etc."
surprise,maarja heb dus net met esther ff in grave bij noor sport dingen voor papa gekocht 
anger,His mounting anger was making his speech more and more incomprehensible through his stroke-stiffened mouth . 
joy,"I felt the greatest burst of joy when after being heavily ill for a long period, my father came back home."
worry,is thinking today will be a longg day!
joy,"my 1,000th tweet was to @MoniFreng regarding glitter paint and calligraphy ink. how.freakin.appropriate. in all respects. "
fear,Fear of failure must never be a reason not to try something. ~ Smith   #success
worry,@_shannon1234 Shannie im so sorry! didnt mean to upset you! i just thought you would find it cute  im sorry dont be sad!
joy,Loaned my book to @kyleerandall for the night.. Means I'm reading 100 pages tomorrow. #ohwell
joy,Good Morning Tweeps! Happy Wednesday. We're half-way there! Do something amazing today.   
fear,Don't let grab your tongue nor let it confine  your #heart #life is too short to live an #mundane #existence ~milla
joy,I love the excitement of opening up a new Apple product for the first time!  
joy,I was very happy when I got an attractive Summer job.
fear,My friend had been telling me about a certain bird which when it cries at night it's the sign that someone will die. So one night I was alone in the house and I heard the cry of the bird and I was afraid.
sadness,@aubrey_pesicka it's the end of the week and we didn't do lunch next week needs to happen!
love,"@Dr_Peabody I'm pretty sure we got sent home a couple of times too. 'tis the week to remember Mary, Anto's granny&quot;the love is all around&quot;"
joy,When some friends of mine asked me to go camping with them for a fortnight.
sadness,It was only once that I really felt sad: at my grandfather's funeral (after a long time of suffering he had died of cancer).
surprise,The anger and astonishment in her face gave way to something very like pity . 
sadness," I ' m sorry sir , but we ran out of chicken . May I suggest our delicious beef burritos or cheese quesadillas ? Both include a side of guacamole and jalapenos . "
sadness," Oh , I always have difficulty in getting along with the staff . "
worry,@TraceyMmm awww  what did you eat sweety?
sadness,I look at her pictures every night. I miss her so much. Why did I do this. 
surprise,Net nog ff een vette remix gemaakt voor Drama stukje met @Bojan JWZ 
sadness,When I heard of the death of a friend who had just finished her training I felt very sad for she was young.
fear,"Je suis à Pôle-emploi ... (et vu comme en parle @Melococo, j'ai encore + peur) pi c'pas comme j'avais déjà fait ça quoi"
worry,http://twitpic.com/67tcr - Ouch!! Burnt my arm on the grill
fear,@NeffyBlack for real;) a person snaking you will never be above you that's why they snakes and stand beneath you...and cause of that 
surprise,Nog even snel leren en dan klaarmaken en dan naar dansen 
worry,driving lesson then off to ikea with the mother and finally work. today is going to be wank
fear,"But Downing Street mandarins grew so alarmed at reports of a snub yesterday that the text of private diplomatic traffic , a telex sent by Mr Clinton on Saturday , was made public . "
surprise,"Taking the kids to  and the 7 dwarfs, opening- night in   a bit of a so sst ;-)"
worry,"aww i can't believe that wee girl on bgt was crying, it was so sad"
sadness,"When I feel I must be with somebody, to talk with somebody - but I am alone."
joy,Today was awful. So bad that I actually enjoyed work more than anything. 
worry,I knew I should've worn the SARS mask on the plane from SoCal.. feeling the beginnings of a sore throat
joy,Having a very rough day ... Trying to find my 
fear,"I had decided to propose to the man I liked to make a trip together.  One day, during breakfast I told him my idea.  I was afraid of his not accepting it and that the idea would end up as a failure."
love,The kids were awesome today! They loved the face painting!
joy,Celebrate today. It's pink! &lt;3
sadness,During the Physics experiment session I did not understand the content of the experiment and did not know how to do it.
love,@liber8dsoul i knoww  she is da best!
joy,"My 21st birthday celebration, when I cut the cake and received the presents."
neutral, I heard it . 
joy," Oh , that's so nice of you ! Thank you very much . "
joy,So let's take a 3 hour nap before waking up to study some more #watchoutforthewalkingzombietmrw
worry,"When someone edit your designs is called plagiarism right??, but what can you do??, I'm tired, exhausted and dissapointed"
fear,"That was still the kind of work that I wanted to do , and if I thought very much a comprehensive schools it was in a spirit of mild disquiet . "
surprise,secretly learning a song on the piano. my parents will crap themselves when I preform for them Christmas day #cheapgift
joy, I will ! I could use some good luck ! 
surprise,She seemed to be almost floating and Maggie was astounded that the sharp stones had not given her enough pain to waken her . 
sadness,"Even so , I was miserable when we were second from last .  "
joy,@danielinbtown christmas music today. :P but tomorrow i'll be waking up to that music. #not
joy,"I urge you to express when you are happy, so other people may understand that happiness is possible. #PauloCoelho"
joy,He was exhilarated when he heard Ornette Coleman improvising free jazz with his plastic saxophone at a club .
worry,@smdarie Ahhh I miss you!! I had DQ the other night without you...it broke my heart a bit
anger,fucking doctors fucking kidneys fucking 9am lecture ahhh 
joy,great that I have to go to the job centre whilst in agony with my neck 
joy,"Forgot my headphones at Ant's house, now I have to listen to the gym's selection. #mymusicrocksharderthanyours"
worry,"@CcoK99 I cant take any chances on them being sold out, when they were in ATX  I waited to long."
joy,chris paul to the lakers!?!? what???? another super team 
worry,"This really hurts. And this really sucks. I don't know what I can do to fix all this, seriously."
worry,Just got a new Ipod.  Life's Good.
joy,Scott Pilgrim box set just arrived. Start reading! 
worry,"@Argyle_SocksO_o: I'm sorry, Shannon."
joy,I was called and invited to have a talk about a job I wanted to have.
anger, I wasn't done talking to you . 
worry,@Jazziy showed my fluid decreasing slightly so doesnt look like Im getting out of this bed anytime soon  Ive got a follow up U/S next week
fear,I'm in the most painful situation in definition of: damned if I do and damned if I don't #life #love what is #therightthing
sadness," I'm sorry , but the price is final . "
joy, You're dancing so well . 
joy,"I am filled with God's presence &amp; love, this brings me "
joy,"@W4FFL35_FDC Actually, (unlike RL) I actually found a person willing to put up with me. "
neutral, What ? 
sadness,At an unjust insult or injure.
joy,"Waking up with a fat ginger cat on your face, when you've hardly had any sleep.."
sadness,When the girl whom I have lusted after expressed reciprocal feelings and then days later changed her mind.
worry,I keep on falling asleep when I'm suppose to be awake. I miss my babyy..
sadness,Most of my friends left and tomorrow is my birthday. 
surprise,there is a dead mouse in a mousetrap in the utility room. i've walked past it loads. im leaving it for my mum when she gets home 
joy,The Christmas section in target makes me happy. #christmasdecorations
joy, Certainly.It matches your suit perfectly . 
fear,The scariest moment is always just before you start.— Stephen King&   #design #inspiration
joy,"Returning to the campuses in a state of excitement , they sensed victory over the authorities , but had to secure the release of their arrested colleagues . "
love,@lizzie123x aww sweetie  you could always take a break and read or write something happier that'll make you feel better
love,"man i just made a fat ass buger mmmmmmmmm  taste so fuckin delicious i love food, i eat my feelings lol"
worry,"@jeffieruth OMG, POOR Jack.  That happened to @jisbellemtp 's dog one time. Hope he gets better soon."
surprise,don't forget that @MiguelTorresMMA mexican food recipes originate from Mexico and are dayum tasty 
neutral, What is it ? 
sadness,"Jurassic Park: The Game, I don't know what you are exactly, but a &quot;game&quot; is definitely not it. #letsforgetthiseverhappened"
joy,"He laughed , showing his white , sharp teeth , pleased with his joke . "
sadness,Leading scorer Paul Wilkinson struck his 20th goal of the season against his former club but looked glum as he left the dressing room . 
sadness,A bar where the only beers on draft are miller lite and bud light?  Srsly? Not a Stella or good ipa for miles #fb
fear,"At WalMart with @iNesha_iP and she just saw a midget and freaked completely out! will KILL you, lol!"
fear,"She was nervous that he might change his mind at the last minute , but he did not do so . "
love,"@Lotay haha im jewish, i love that one"
love,I love being able to run my tongue along my teeth
joy, That sucks . You wanna go grab a beer ? 
sadness,He left at 9 this morning to go work :( 
fear,I became concerned when I saw my husband becoming a different person . 
joy," My pleasure Miss . Actually , could you recommend what to eat here ? I've never been here before . "
fear,": not afraid of tomorrow, for I have seen yesterday and I love today #less”"
neutral, You are going to take courses ? 
joy,Part 1 Black Friday shopping accomplished....Part 2 starting at 4...
love,@RosieCooper We said anyone could &quot
joy,Woke up in a hideous mood. Journey of 4 hours with family.. 
joy,Hoy volvera Mery Almudena con mis niños @bastayaa @kikejimenez1991 @lepetitjuanma @vikikiller en 
joy,"I've had one fantastic day! I cannot fit what went about into 140 characters BUT I will say this, I'm thrilled! "
worry,I don't feel well at all
worry,@tommcfly We're running out of things to tweet to you.  Wish we could get your reply! Come to the Philippines?  TWEEET!
surprise,"is af!  Nu nog een dikke week de tijd voor gedicht, heb zowaar inspiratie ! Lol #houvast ..."
sadness,The zombies in the upcoming World War Z film run. 
joy,Pretty ! Say beautiful rather . Can you imagine any thing nearer perfect beauty than she altogether-face and figure ? 
fear,Fear of the turn that the examination paper would take as I lacked confidence.
worry,"@energeticspace If I can run by then, I will join you...miss running"
joy,Ughhh. Science and btt test today ! -.- 
worry,"@Faz4980 thanks  and ill cross my fingers for you, that the rain will stop"
sadness,I had a long discussion on politics with an acquaintance.  He was more knowledgeable than me and I failed to explain my point of view and was misunderstood so I felt depressed and left.
joy,"After being to the pub, I must now spend the rest of my evening drawing boats. "
fear,"When my boyfriend was leaving to go home one night, I had a very deep sense of uneasiness and an unwarranted fear that I wouldn't see him again."
worry,":O Job interview today, i'm really gonna mess this uuuup"
joy," Yes , I'd love to.Here is a good one , Mozart and Beethoven.It ' s on the Festival Hall . "
sadness,Starving and no one is cooking. ?? I'm so confused . 
anger, Exactly.That ' s the worst part . 
joy,put a smile on your face and spread life's joy and god's love through it :)   #GOD
fear,"No longer your prison, today I remember who I was then now is gone. "
surprise,“@alisaatiree: Getting Bop's for the family. #bestdaughterever” where's mine??
sadness,@marissanb I always feel bad when we leave the dog all alone 
joy,Sick like a dog. Doctors tomorrow 
love,"@Health4UandPets Hi Lisa, you have the most BEAUTIFUL pups! HAPPY MOTHERS DAY!2 Raven, Rio&amp; Thors WONDERFUR mama!!  *kittykisses*"
worry,Brand new is playing at the epicenter in July when I'm in NY. Jesse lacey why do you hate me?
worry,"@badabam no, sry, didn't feel well at all. but there'll be another change I believe  hope FFK09 was fun with lots of inspiring input."
anger,"I was disappointed and angry at the bad quality of a documentay program on TV.  In my opinion, the topic was important and the program should have been made with seriousness and consideration."
joy,Joining in a research group studying consumer's behaviour and helping the people in the shop with the sales.
love,"Happy Mother's Day to all mothers out there!  I am not one myself, but I have been called something along those lines"
anger,Saw in the TV South Korea cheating in the Asian Olympic games.
worry,I'm wake and sad  what the hells going on
sadness,"I miss @DSadownick &amp; @LeslieCawal . Like, this tour needs to hurry. :( "
sadness,"@campyspornshack Yeah, I can't load my funny pic of Cam and his twinkie :(  "
love,@Shan_Shan_West Im so excited to see u!! Its been forever  My lil Shan Shan gettin married!!  PS Did u really get a tattoo?? Lol
joy,Guess my uncle is takin over one of my rooms this weekend. 
anger,"Whatever you do, don't mess with my coffee "
anger,Id Love To Punch You In The Face 
joy,One of the greatest challenges but biggest gifts you can give people you lead is learning to be responsive to their needs!  
anger,Dear   STOP messing up my delicious French recipes!!!!! OR stop putting the word French xxx as a title!!! 
worry,"still feeling crangsty  but sushi for Marianne's bday (tmr) tonight! then pedicures (finally!) even so, I hate feeling like this *pouts*"
worry,I do not feel good
joy,When my one year old son gives me a spontaneous kiss.
worry,"@amandalaur i know right, that's so weak  but the g1 seems most like the sk i think. latonya is lamesauce, just call her that from now on"
fear,"The veterans have become increasingly alarmed at the incidence of illness -- especially cancers amongst the 20,000 who were present at the tests . "
anger," How could I help but follow it ? The fluctuation of dollar is killing my company ! The exchange rates are eating into our profits , and we can't do anything about it . "
fear,"@Staff_9, U gotta get aggressive.  out of them lame as plays, s the offense then go down the field. Put in them."
sadness,... guess i should clean my room.
sadness,@HalesLiffey i'm appriciating you ripping the belly button apart... :( thanks.  
anger,Stupid cow get out my life.  
worry,Got to reconnect with some dear friends tonight.  I am so lucky to have so many great people in my life.  I am blessed
worry,@siempreuntigre It's the fact that I need to get through half a course by 9 am tomorrow morning that has me down. I'll be at reunions!
neutral, Eighteen . 
fear,"The  will be  into   and it will keep on saying, Is there any  A muslim hell fire."
worry,"Just got home, doing art all day.. i want to be in a film"
joy,@TheWelsbyMiller everyone is in a bad mood in my house. 
worry,Wishing the rain would stay away for a while so that I can go to the pool
fear,I wish tomorrow would just skip! tomorrow I have to give a speech D: and do my ethics presentation! D: imma die bro! 
sadness,"Such a boring day, now I have to wait in the cold :( "
sadness," I'm sorry , that's bad luck . "
sadness,"At a news conference at the Royal Geographical Society in London , they described the mental and physical anguish of their 95-day trek . "
worry,"@BoltClock Hmm, I will hear more."
anger,Is it  bad that i have the feeling to grab this kids's ceramics pot and break it? 
fear,"Yet....., we are unable to effect and change what and whom we see that negatively affects us...Why operate in ... #UseITdontUseIT"
joy,To start my weekend I have to spend an hour in the mercy parking lot 
sadness,"Llore, pero de risa &quot;@Marjorie_rigaud: @SweetDids mi hermana no confia en mi, yo tanto q la quiero, pero #palantemarik&quot;"
worry,"http://www.facebook.com/pages/HelloTxt/73275306275 this message is posted on HelloTxt Facebook Fan page through HelloTxt, check it out"
joy,When I recently got an appartment in central Gottenburg.
joy,"Football on the Tele and a nice cold beer, can't think any better way of spending a Monday night "
joy,Working 12 hours today. #makingbank
fear,"The Americans were petrified of Communism , and believed Communists were aiming for world domination , via the ` domino effect "" of one country after another falling to it . "
joy,Within the next few months -- and long before the next election -- they will have to settle these questions or see the spectre of the Winter of Discontent raised to haunt them by gleeful Conservative politicians . 
worry,"Ugh.. apparantly doc authorized my refills on tuesday (and ready to be picked up), but the order status online still says waiting review."
love,"Aaaagh, aircon not working in my office"
love,"@kalowee will do  hee after exams, i'll give u plenty of shows. HAHA hopeless me"
neutral, Not really . Very few people get married beforethe age of 20 . 
joy,Love this! RT @debrareble follows a pure thought like a shadow that never leaves-Buddha #quote
fear,My brother just left with my movie #MarkWahlberg &#xA;&#xA;I miss it already!
anger,Apparently @yeroc7890 done did something awful to Huntsville. 90% of all the HUGO screenings in town are in 3D. Nothing 2D after 7PM. 
surprise,Things that have changed since I've been gone -&gt; my German Shepard named Dude now loves to jump onto my bed. 
neutral, Excuse me ? 
worry,@hueypriest guess that depends on if you want to be on the jury
worry,"Woke up at 10am, my alarm didnt wake me up so @samm_xo did by sending me the best text!"
worry,I lost followers  Was it something I said?  I swear I am not into freeballing.  Ugg that is the last time I mention that thing.
surprise,You thought you had a friend w/ benefits. but really you've been in a committed relationship for 2 months 
anger,"Even so , becoming angry when travel arrangements go wrong can hardly help . "
joy, Thanks . I just got back from summer camp . 
fear,@valisgreen Si! Lei le piglia con la carta igienica e poi le butta nel water...io ho troppo schifo per farlo! I ragni li ODIO ç___ç 
joy,"In other news, my mum made EFO.   "
worry,@jarnmang  Hope everything ok! Can burr fix this?
sadness,"She did n't want to get sad now , not now after it had been so good . "
anger,"I \cooked\"" the engine in my father's car - it was actually his fault because he hadn't fixed the temperature gauge or told me. When I finally got home I was absolutely screamed at and the anger I experienced was over the injustice of it all plus the huge row which developed."""
worry,My twitter is on c r a c k
worry,ug i think i blew my phone interview  i like them!
anger,"In fact I expect he 'll be mad I 've told you that much . "" "
joy,I love Christmas holidays!  #LIGHTS #HAPPINESS #FAMILY
joy,I started close reading the book 'night'. i have to close read the whole thing by friday ! -___-
surprise,  won the '11  Championship over the #saguaros 9-3. Nolan Arenado hit his 7th HR of fall #MLB
anger,I was angry when I heard that my only girl was going about with another man. So I decided to drop her but later the story came to be untrue.
love,happy momies day!
love,Nobody does it better than www.traveljunky.com Not even half as good   ? http://blip.fm/~5jv7j
joy,"As If I wasnt stressed out enough having Maths, Chem and Biology exams  all on the same day, I realise now that I also have a clash. "
worry,@DC_Zol I would like to make a comment about the password but I can't on this medium
anger, He's a sad dog . He came to the wedding in jeans ! 
surprise,lool awkward moment when you show up late to a surprise anniversary party... 
surprise, season is coming and we have a in store for you. stay tunes for updates!
worry,going to work soon and so excited!  ugh id rather pluck my fingernails off
joy,"Curled into bed with a giant smile on my face, tears of joy rolling down my cheek. God, You are so awesome! #believe #goodnight :D"
joy,"Some stranger is sitting us, girls know her, she's so fucking loud. &amp; speaks like a whore "
joy,Learned a whole lot today. Thanks to Mrs. G. Stoked for first Tuesday.    
sadness,"A small sad smile pulling at her mouth , convinced that it would say thank you and goodbye , she took a deep breath , and began to read . "
sadness, I had a terrible quarrel with my neighbor yesterday . 
worry,"Gone up to 8mm on my plug. Help, this is where I said I'd go maximum and I still want to stretch it more..."
fear,"Perhaps it was something in the dowager-duchess 's voice that caused it , but Joan to her own dismay burst into tears . "
surprise,Heb tenslotte nog tot zondag om mijn af te maken #Sinterklaas
sadness," Yes , but there is nothing inside the drawers or on the desk . "
love,@mynkeymonkey CONGRATULATIONS! How lovely
surprise,Wachten op pap en dan richting laura 
surprise,@p90xer_4_life yeah yeah yeah whatever... we'll see if i unfollow you or not... it'll be a :)
sadness," Lucy is known as a social butterfly . She has taken many rich men for a ride , you know . "
worry,I need people to shoot so I can work on my new post processing technique.. but I need to show off the PP before people will want to!
anger,"I go along and watch women 's football and get really infuriated to see a man out there refereeing the game , and often in a very condescending manner ! "
worry,Wow slept in with no dolidh here to wake me up
fear,She was still feeling a little anxious when she thought of all she would have to do before she could get to bed that night . 
fear,Let's drink some beer  more beer my music's trying to tell me something
surprise,Qui est prêt pour un voyage en carotte spatiale ? @Kallou
joy,love when i mean to tag someone in a tweet but then forget to. now it looks like i'm talking to myself... 
joy,Up and eating lunch in the caf. 
fear,"In the long run, anytime we avoid doing the right thing out of fear, we die a little inside. - John Ortberg  "
anger,When I was punished in school for no serious mistake of mine.
fear,"Apparently the RLD was not aware of the details of the Vanguard accident at that time , but the subsequent publication of the report on the accident should have reinforced their disquiet . "
sadness,"Christmas Eve: there was a tension between my parents, they did not even try to restore a harmonic atmosphere. Mother stayed in her room almost the whole day. I felt alone and was very sad."
joy,  #Extreme #Moods but I'm feeling good like James Brown #MA it is brown right lol
worry,Ready for the trip. Not ready to leave my baby!!!!
surprise,first tweet at @vizosoup happy belated birthday my love!! #threeworlds
fear,He was concerned that to include the large Asian countries in such a scheme would introduce problems that the small nations could find difficult to resolve . 
worry,Looks like it's going to be a upset for Venus
joy,"You 're pleased about his engagement -- he told me that some time ago -- and you 've as good as admitted it tonight . "" "
fear,   Infiltration in our lives. The illusion of so we accept their political Solutions. #Tyranny
worry,@RealJudgeJules Gutted your not playing Kos in July Jules
anger,Yet she still finds herself full of frustration and anger towards him . 
neutral, Sure . 
joy,When I heard that I had passed my end of first year exams and I was ready to enter 2nd year because I felt I had failed as they were very hard.
joy,"People go through things that we don't know. So,be nice to everyone b/c it could make their day.Stop being rude, spread &amp; #befortunate"
love,well going to sleep peoples!! night all twitterers!! loves ya!  *Welcome Home*
joy,"Not so , according to elated opponents of nuclear power . "
love,"who is that girl i see, staring straight back at me, when will my reflection show who i am inside..."
sadness,A friend of mine who was driving a car ahead of me died in a car accident.
worry,Our Quinn puppy got a sick.
sadness,So far.. Christmas is different this year.. I have not seen any chia pet commercials. 
worry,sore head..hope my girls ok
sadness,Last day off until five days straight of work. 
love,Happy Mothers May to my Mak   Love you always! XOXO.
anger, It is impossible . You cheated on me . 
fear,"Constant recounting of this tale embroidered it further , describing the woman 's horror as the head , missing the basket , gripped her apron and held on with its teeth ! "
joy,"Heck yea! Got my Christmas ringtone up and running! If you call me, I may not answer due to the joy it provides! #CaroloftheBellsABR"
sadness,"If I were to step out rite now, 75% chance ima run into traffic, mind its 4 am "
anger,"They played throughout the second half in peeved mood , allowing Blackburn to assume the dictating role with Gordon Cowans prompting from midfield and Speedie in predatory form up front . "
love,@tonyrobbins Thanks for the reminder Tony
fear,@TBLightning Cats are afraid of water. Water=rain. Rain=storms. Storms=LIGHTNING. Therefore Panthers Lightning. #gobolts.
love,Happy Mothers' Day to my mom and all the mothers in the world
joy,My last genetics midterm - a decent grade.
worry,i am not feeling well so i am going to sleep now
sadness,"This occurred when my girlfriend and I have to finish our relationship due to some circumstances between her and her family. I was really sad, hurt and couldn't really find any reason why am I still living. Is this life is all about ? This was one of few question which crept up vividly every time I thought about what had happened."
fear,"Suddenly , a wave of tiredness swept through her and she closed her eyes for a moment , during which the girl remained quiet , but visibly agitated and eager to be getting on with her work . "
joy,@alicat0120 well good because it's hard to find a good looking person that has a great personality is coming soon :-)
anger,My parents did not let me go on holidays with my friends.
fear,She was gorgeous but that bitch was cuuuuhrazy son... 
worry,I think i pinched something in my neck.
fear,Pentheraphobia- the fear of mother-in-laws... a that any married man should have
love,@mralphafreak seems like working.. rofl - sadly money is not growing on a tree
sadness,Dead!!! RT @1st_ClassAct: My grandmother won't let me step foot in the kitchen.. 
worry,"So much to do this summer, hopefully all comes in favor and nothing has to be cancelled  worked hard for it..."
worry,@LysdelTellez I am lost. Please help me find a good home.
sadness,feel like i never take the time just to sit down and read anymore #justread
anger, Just get out of my face ! 
worry,has a headache from the the heat.
joy,@DamianCalero jajaja a tope no ? Pues mas de lo mismo .. Cojiendole el gustibiri jajaja pronto no ?
fear,People what they don't Understand. But I Understand Fear.-Copyrights k.ford
anger,I don't mind telling you I am absolutely fuming. SOMEONE has used all my sandwich bags AND LEFT THE BOX IN THE CUPBOARD. #Frustration
anger,` There is exasperation that it is taking so long . 
fear,&quot;@FredericBrussat: To live in is a life half-lived.  Spanish Proverb&quot;
worry,@MsVanityQT Flirting! Ima good man with bad habits.
joy,Is it okay to have a holy spirit party at work? #overflow
surprise,"Downstairs in the lobbies , Tories were running around in equal bewilderment over the Speakership . "
joy,Article published in the college newspaper.
joy,Seeing both man united and man city crash out of champions league today has left a pretty big smile on my face 
fear,@graygoods It says the  wants to keep people  that's what it says. is a great tool 4 #oppression &amp; silencing #dissent
worry,@CourtneySit Hey are you quiet today or is it me...work was nuts today...no tweeting time
joy,Guess what? I just walked out of the last math class I will EVER have to attend. #joy #JOY
fear," No , forget that ! Do the tourniquet first . I'm losing too much blood . "
fear,"The horror in her voice was almost ludicrous , and Briant raised his eyebrows slightly . "
fear,"I worry, if I will receive tomorrow 2 points. It will affect study under the literature. "
fear,It seems that anxious people condition most easily and it is thought that irrational fears are established in this way . 
neutral, I think so . 
joy,Breaking Dawn with my sister and her friends :) #littlesarcasm
joy,This afternoon is looking like it will be spent working on concurrency issues 
love,"@carinacani DAMN @-) That's a lot of messages from him @-) HOW SWEET. :&quot;&gt; And yeah, sayang"
surprise,@1garretthill I CAN BE YOUR BIRTHDAY PRESENT WHEN I FINALLY GET HOME!!!!!!!! hahaha #bestpresenteverrrr
joy,So i cleaned my room today.... And now i have so much scrapbook stuff out i cant walk through my room. &amp; My floors covered in glitter. 
joy,Had sooo much fun working tonight! Catching people stealing and watching mall fights! (:
sadness,Kinda hard to tell someone to stop using their voice when they are the queen of car singing 
joy,"Did you write that? Bro, you can post some of my tweets as your own. I don't mind. RT@DaneCook: I just shit my pants. Pure 100% gravy. "
sadness,"Taking as his theme the great rivers of the world , the Ganges , the Jordan , the Mississippi , the Clyde -- and of course the Boyne -- he weaves a tapestry evoking both sorrow and joy . "
fear,&amp; terror only brings more violence &amp; war. war only dehumanizes EVERYONE. times like these *need* dissent. #ows #occupy
worry,The puppy is sick  and some one put they hands on my momma &gt
joy,"I smile, I dance, I laugh: my life in service to the  is always full of "
surprise,"That moment you know is coming, but you thought it would never happen, and then it sneaks up and actually happens. & "
surprise,there's an excessive amount of douche bags on my plane #yaaayyy 
joy,Interviews done. Always amazed by people's reactions to the questions we ask the black Friday shoppers.  #love #peace
neutral, Excuse me ? 
worry,@alyssainescruz aww. me too  annoying!!! :|
fear,OMFG ! &quot;Vous devez utiliser Internet Explorer pour visualiser ce site&quot;  
joy,When you do what you're passionate about/called to do-it brings great to your soul... #GodsWill
neutral, See you . 
joy,christmas decorating and work alll night 
anger,Cant find my under armour to go for a run &lt;&lt;&lt;&lt; 
surprise,@willemhop heeft de Sint een opdracht gegeven om een bom te maken als doel de Arena te laten branden! Wat is die sint geweldig 
joy,I get to dissect a baby pig today #fml -__-
fear,False Evidence Appearing Real 
worry,In hysterics at Yaas' email &lt
surprise,Cannot believe I'm staying in on another Friday night!!! It will feel good to wake up not hungover tomorrow. 
worry,@aka55 Hope you mom is okay
sadness,@inasar paris is a dream land!must be cold there.its almost mid of november AND ITS SO NOT COLD HERE! weather is still the same :-( 
anger,"Last week, my organization summoned an executive meeting and one of the executive member's pointed out a loop hole in the committee's administration.  He could not suggest any improvements, so I quarrelled with him."
sadness,"My mom won't buy me the cute novetly sweater I want from JCPenny. :( Just because it has moose on it, doesn't make it a bad sweater"
joy,When people call you a freak for giving your best friend a running hug&gt;&gt;&gt;&gt;&gt; 
worry,*shriek* Bee almost flew here from window. I'm not afraid of spiders or zombies in my dreams..But I run when bee is in same room with me.
surprise,"Just made dinner reservations for tomorrow night anniversary, somewhere in Memphis  "
neutral, Yes ? 
fear,"Equally inevitably , there was outrage and dismay in India . "
fear,"The alarmed Hungarians initially kept this threat to themselves , but have since raised the issue in private both within the Warsaw Pact and with certain Western governments . "
love,@kyladreams aw you're the shit  thanks so much for the twitter loveeee. i appreciate every last drop
sadness,I juss got overwhelmed wit and I don't know y
love,@kristenkey  so true...and so poetic! beautiful
joy," OK , I'll meet you there . "
worry,#ivealwayswantedtosay Sorry to his wife also for moonying her...she was a lovely lady and it was a dare...she did not deserve that!
anger,I think i might bring back my temper 
sadness,Last cheer season if gonna fly by.... 
anger,"The reporter , whose English was stilted and hesitant , tried to get an answer from a miffed Atherton who refused saying he had already answered the same question ."
love,"@thespunkyone So then Fuckin Awesome Super Sexy Stud Muffin Beast, How's that sound to you @JonathanRKnight"
sadness,The queen was grief-stricken at his death . 
neutral, What is it ? 
anger,"His teachers were suspicious of his popularity , annoyed by his lack of interest in academic work and infuriated that he could still achieve high marks in examinations . "
surprise,Ben aan het maken.  Spectaculair!  Maak er  morgen wel een foto van.  Is nu nog  geheim!  Full  color  printer  is  erg  handig...
fear,I  up at the end of a      out the  in me& hear your  start  in 
surprise,Just spent $100 in gift baskets for my parents and grandparents. 
joy,"Within months revival began , and overjoyed Christians overflowed into the city streets . "
joy,so its that time of night where i just have this burst of energy and i wont be able to go to sleep for another hour or two. lol 
